Plot,Treatment,Type,Species,DBH,DSB,Height,DSB_m,Height_m,Biomass,C_per_tree,Carbon_kg.m2
Early2015_6,EARLY NEW,Shrub,Pteleopsis subarosa,NA,1.2,122,0.012,1.22,5.117146321,2.55857316,0.102342926
Early2015_6,EARLY NEW,Shrub,Dichrostchys cinerea,NA,0.9,135,0.009,1.35,3.528743198,1.764371599,0.070574864
Early2015_6,EARLY NEW,Shrub,Dichrostchys cinerea,NA,0.7,91,0.007,0.91,1.74673596,0.87336798,0.034934719
Early2015_6,EARLY NEW,Shrub,Dichrostchys cinerea,NA,1.5,154,0.015,1.54,8.714919415,4.357459708,0.174298388
Early2015_6,EARLY NEW,Shrub,Dichrostchys cinerea,NA,0.8,119,0.008,1.19,2.657515164,1.328757582,0.053150303
Early2015_6,EARLY NEW,Shrub,Pteleopsis subarosa,NA,1.2,135,0.012,1.35,5.539862751,2.769931376,0.110797255
Early2015_6,EARLY NEW,Shrub,Dichrostchys cinerea,NA,0.8,118,0.008,1.18,2.639993112,1.319996556,0.052799862
Early2015_6,EARLY NEW,Shrub,Dichrostchys cinerea,NA,1.7,165,0.017,1.65,11.19369552,5.59684776,0.22387391
Early2015_6,EARLY NEW,Shrub,Dichrostchys cinerea,NA,1.3,98,0.013,0.98,4.88598934,2.44299467,0.097719787
Early2015_6,EARLY NEW,Shrub,Dichrostchys cinerea,NA,1.3,104,0.013,1.04,5.118972884,2.559486442,0.102379458
Early2015_6,EARLY NEW,Shrub,Vetallaria paradoxa,NA,1.7,101,0.017,1.01,7.618603125,3.809301562,0.152372062
Early2015_6,EARLY NEW,Shrub,Dichrostchys cinerea,NA,1.9,109,0.019,1.09,9.628497766,4.814248883,0.192569955
Early2015_6,EARLY NEW,Shrub,Dichrostchys cinerea,NA,0.7,128,0.007,1.28,2.282320384,1.141160192,0.045646408
Early2015_6,EARLY NEW,Shrub,Dichrostchys cinerea,NA,0.6,110,0.006,1.1,1.591560906,0.795780453,0.031831218
Early2015_6,EARLY NEW,Shrub,Dichrostchys cinerea,NA,1.1,120,0.011,1.2,4.407127725,2.203563863,0.088142555
Early2015_6,EARLY NEW,Shrub,Dichrostchys cinerea,NA,0.9,107,0.009,1.07,2.940934528,1.470467264,0.058818691
Early2015_6,EARLY NEW,Shrub,Dichrostchys cinerea,NA,0.7,85,0.007,0.85,1.655793638,0.827896819,0.033115873
Early2015_6,EARLY NEW,Shrub,Dichrostchys cinerea,NA,0.5,79,0.005,0.79,0.922539683,0.461269841,0.018450794
Early2015_6,EARLY NEW,Shrub,Dichrostchys cinerea,NA,0.5,61,0.005,0.61,0.753277919,0.37663896,0.015065558
Early2015_6,EARLY NEW,Shrub,Dichrostchys cinerea,NA,0.4,74,0.004,0.74,0.617718213,0.308859106,0.012354364
Early2015_5,EARLY NEW,Shrub,Pteleopsis subarosa,NA,5.2,161,0.052,1.61,63.36812442,31.68406221,1.267362488
Early2015_5,EARLY NEW,Shrub,Pteleopsis subarosa,NA,4.9,147,0.049,1.47,53.7575515,26.87877575,1.07515103
Early2015_5,EARLY NEW,Shrub,Pteleopsis subarosa,NA,0.6,70,0.006,0.7,1.116729247,0.558364624,0.022334585
Early2015_5,EARLY NEW,Shrub,Pteleopsis subarosa,NA,0.6,54,0.006,0.54,0.911169146,0.455584573,0.018223383
Early2015_5,EARLY NEW,Shrub,Pteleopsis subarosa,NA,0.4,61,0.004,0.61,0.530908549,0.265454275,0.010618171
Early2015_5,EARLY NEW,Shrub,Pteleopsis subarosa,NA,0.5,59,0.005,0.59,0.733847926,0.366923963,0.014676959
Early2015_5,EARLY NEW,Shrub,Pteleopsis subarosa,NA,0.6,60,0.006,0.6,0.989619632,0.494809816,0.019792393
Early2015_5,EARLY NEW,Shrub,Pteleopsis subarosa,NA,0.6,59,0.006,0.59,0.976666809,0.488333404,0.019533336
Early2015_5,EARLY NEW,Shrub,Pteleopsis subarosa,NA,0.6,54,0.006,0.54,0.911169146,0.455584573,0.018223383
Early2015_7,EARLY NEW,Shrub,Detarium microcarpum,NA,2.1,154,0.021,1.54,14.76940195,7.384700975,0.295388039
Early2015_7,EARLY NEW,Shrub,Detarium microcarpum,NA,1.2,93,0.012,0.93,4.136415412,2.068207706,0.082728308
Early2015_7,EARLY NEW,Shrub,Detarium microcarpum,NA,1.1,93,0.011,0.93,3.60893651,1.804468255,0.07217873
Early2015_7,EARLY NEW,Shrub,Detarium microcarpum,NA,1.1,90,0.011,0.9,3.517354664,1.758677332,0.070347093
Early2015_7,EARLY NEW,Shrub,Detarium microcarpum,NA,1.1,111,0.011,1.11,4.145855313,2.072927657,0.082917106
Early2015_7,EARLY NEW,Shrub,Detarium microcarpum,NA,1.1,115,0.011,1.15,4.262520645,2.131260323,0.085250413
Early2015_27,EARLY NEW,Shrub,Burkia africana,NA,3.3,179,0.033,1.79,33.75418704,16.87709352,0.675083741
Early2015_27,EARLY NEW,Shrub,Burkia africana,NA,4.3,120,0.043,1.2,37.36044411,18.68022205,0.747208882
Early2015_27,EARLY NEW,Shrub,Burkia africana,NA,2.8,117,0.028,1.17,18.69369985,9.346849923,0.373873997
Early2015_27,EARLY NEW,Shrub,Teriscarpus laziflora,NA,3.2,145,0.032,1.45,27.26845422,13.63422711,0.545369084
Early2015_27,EARLY NEW,Shrub,Combretum molli,NA,0.3,53,0.003,0.53,0.302886951,0.151443476,0.006057739
Early2015_27,EARLY NEW,Shrub,Combretum molli,NA,0.6,53,0.006,0.53,0.89791534,0.44895767,0.017958307
Early2015_27,EARLY NEW,Shrub,Combretum molli,NA,0.3,53,0.003,0.53,0.302886951,0.151443476,0.006057739
Early2015_27,EARLY NEW,Shrub,Vetallaria paradoxa,NA,2.2,98,0.022,0.98,11.14711307,5.573556535,0.222942261
Early2015_27,EARLY NEW,Shrub,Teriscarpus laziflora,NA,1.2,52,0.012,0.52,2.622438942,1.311219471,0.052448779
Early2015_27,EARLY NEW,Shrub,Teriscarpus laziflora,NA,0.5,75,0.005,0.75,0.885718475,0.442859238,0.01771437
Early2015_2,EARLY NEW,Shrub,Detarium microcarpum,NA,0.8,78,0.008,0.78,1.908391385,0.954195692,0.038167828
Early2015_2,EARLY NEW,Shrub,Detarium microcarpum,NA,0.7,79,0.007,0.79,1.563452138,0.781726069,0.031269043
