Treatment,Location,Subplot,Horizon,Depth,SOC,C.density
Unburnt,Notburnt_2,4,12,5,4.60291058,92.05821159
Unburnt,Notburnt_2,5,2,2,0.63165356,31.58267798
Unburnt,Notburnt_2,5,7,5,2.89307852,57.86157041
Unburnt,Notburnt_2,5,12,5,3.273802781,65.47605563
Unburnt,Notburnt_2,5,17,5,2.046569688,40.93139375
Unburnt,Notburnt_3,1,2,2,1.87150408,93.57520399
Unburnt,Notburnt_3,1,7,5,4.623698477,92.47396954
Unburnt,Notburnt_3,1,12,5,3.787989132,75.75978264
Unburnt,Notburnt_3,2,2,2,1.582683531,79.13417656
Unburnt,Notburnt_3,2,7,5,3.331313937,66.62627874
Unburnt,Notburnt_3,2,12,5,3.780432329,75.60864658
Unburnt,Notburnt_3,3,2,2,2.339694796,116.9847398
Unburnt,Notburnt_3,3,7,5,2.657883252,53.15766505
Unburnt,Notburnt_3,3,12,5,2.933525323,58.67050647
Unburnt,Notburnt_3,4,2,2,1.639139105,81.95695524
Unburnt,Notburnt_3,4,7,5,3.527564184,70.55128368
Unburnt,Notburnt_3,4,12,5,3.346682472,66.93364944
Unburnt,Notburnt_3,5,2,2,2.024741159,101.2370579
Unburnt,Notburnt_3,5,7,5,4.540214391,90.80428782
Unburnt,Notburnt_3,5,12,5,2.575427937,51.50855875
Unburnt,Notburnt_3,5,17,5,3.716700844,74.33401688
Unburnt,Notburnt_5,1,2,2,0.945335211,47.26676057
Unburnt,Notburnt_5,1,7,5,2.120980056,42.41960113
Unburnt,Notburnt_5,1,12,5,1.494511689,29.89023377
Unburnt,Notburnt_5,2,2,2,0.417368566,20.86842831
Unburnt,Notburnt_5,2,7,5,1.812890799,36.25781598
Unburnt,Notburnt_5,2,12,5,1.039336955,20.78673911
Unburnt,Notburnt_5,3,2,2,0.819363999,40.96819993
Unburnt,Notburnt_5,3,7,5,3.110205542,62.20411083
Unburnt,Notburnt_5,3,12,5,1.276304963,25.52609926
Unburnt,Notburnt_5,4,2,2,0.936287192,46.8143596
Unburnt,Notburnt_5,4,7,5,1.760647893,35.21295787
Unburnt,Notburnt_5,4,12,5,2.87322296,57.4644592
Unburnt,Notburnt_5,5,2,2,1.03804975,51.90248751
Unburnt,Notburnt_5,5,7,5,2.575438105,51.5087621
Unburnt,Notburnt_5,5,12,5,3.035669856,60.71339712
Unburnt,Notburnt_5,5,17,5,2.503446189,50.06892378
Unburnt,Notburnt_6,1,2,2,1.550282618,77.51413091
Unburnt,Notburnt_6,1,7,5,4.624547051,92.49094102
Unburnt,Notburnt_6,1,12,5,4.207468321,84.14936642
Unburnt,Notburnt_6,2,2,2,1.052006081,52.60030405
Unburnt,Notburnt_6,2,7,5,4.580600716,91.61201432
Unburnt,Notburnt_6,2,12,5,4.829337806,96.58675613
Unburnt,Notburnt_6,3,2,2,0.552073315,27.60366575
Unburnt,Notburnt_6,3,7,5,3.749846246,74.99692492
Unburnt,Notburnt_6,3,12,5,4.917038683,98.34077367
Unburnt,Notburnt_6,4,2,2,1.448918258,72.44591289
Unburnt,Notburnt_6,4,7,5,4.351506501,87.03013002
Unburnt,Notburnt_6,4,12,5,1.450332998,29.00665996
Unburnt,Notburnt_6,5,2,2,1.669192201,83.45961003
Unburnt,Notburnt_6,5,7,5,3.337044471,66.74088942
Unburnt,Notburnt_6,5,12,5,4.461905905,89.2381181
Unburnt,Notburnt_6,5,17,5,4.681818721,93.63637441
Unburnt,Notburnt_9,1,2,2,0.77480298,38.74014902
Unburnt,Notburnt_9,1,7,5,2.922643394,58.45286789
Unburnt,Notburnt_9,1,12,5,2.528655149,50.57310298
Unburnt,Notburnt_9,2,2,2,0.783929134,39.1964567
Unburnt,Notburnt_9,2,7,5,2.115939302,42.31878603
Unburnt,Notburnt_9,2,12,5,2.205205235,44.10410471
Unburnt,Notburnt_9,3,2,2,1.105722924,55.28614618
Unburnt,Notburnt_9,3,7,5,2.886324342,57.72648684
Unburnt,Notburnt_9,3,12,5,2.697230255,53.94460509
Unburnt,Notburnt_9,4,2,2,0.660099925,33.00499626
Unburnt,Notburnt_9,4,7,5,2.640650957,52.81301915
Unburnt,Notburnt_9,4,12,5,2.301432469,46.02864938
Unburnt,Notburnt_9,5,2,2,1.091166576,54.55832881
Unburnt,Notburnt_9,5,7,5,2.641627894,52.83255788
Unburnt,Notburnt_9,5,12,5,2.66664937,53.33298741
Unburnt,Notburnt_9,5,17,5,3.210797422,64.21594844
